City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Monrovia,LR,77.0,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
392,Martinsville,US,82.99,light rain,36.69,-79.87,Hampton Inn Martinsville
393,Sinnamary,GF,80.6,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
396,Aguimes,ES,86.0,clear sky,27.91,-15.45,Hotel Villa de Aguimes
399,Guerrero Negro,MX,87.93,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
400,Tottori,JP,75.2,scattered clouds,35.5,134.23,Hotel Monarque Tottori
401,Kunya,NG,77.0,few clouds,12.22,8.53,
404,Kuchinarai,TH,75.2,overcast clouds,16.54,104.05,โรงแรมแสงชัย
406,Goderich,CA,79.0,clear sky,43.75,-81.72,Harmony Inn
408,Itoman,JP,78.8,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
411,Manggar,ID,80.64,overcast clouds,-2.88,108.27,Guest Hotel
412,Jasidih,IN,78.37,light rain,24.52,86.65,Alkapuri Guest House
414,Buzmeyin,TM,84.2,clear sky,38.05,58.21,
415,Champerico,GT,77.0,drizzle,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
416,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
418,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
419,Bousse,BF,77.0,clear sky,12.66,-1.89,Maison d'hôtes EBEN-EZER DE BOUSSE
423,Tenenkou,ML,78.96,overcast clouds,14.46,-4.92,
424,Methoni,GR,82.0,clear sky,36.82,21.7,Methoni Beach Hotel
435,Raha,IN,76.42,broken clouds,26.23,92.52,Hotel Smriti
438,Itaueira,BR,85.73,scattered clouds,-7.6,-43.03,Hotel Pousada Luz
439,Ibra,OM,79.52,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
440,Kabanjahe,ID,75.2,mist,3.1,98.49,Pelindung Bawah Losmen
443,Kulhudhuffushi,MV,82.85,scattered clouds,6.62,73.07,Haajy Guest House 1
445,Nampa,US,86.0,clear sky,43.54,-116.56,Nampa Downtown
448,Biak,ID,75.31,broken clouds,-0.91,122.88,Kost Ariz
452,Nicolas Bravo,MX,77.0,moderate rain,18.45,-88.92,
459,Phan Thiet,VN,77.94,light rain,10.93,108.1,Hotel Saigon-PT
460,Acajutla,SV,78.01,light rain,13.59,-89.83,Stop.
463,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
465,Cockburn Town,TC,84.11,light rain,21.46,-71.14,Osprey Beach Hotel
466,Hantsport,CA,75.2,few clouds,45.07,-64.17,The Flying Apron Inn & Cookery
467,Panacan,PH,80.98,overcast clouds,9.25,118.41,Mom's Place Resort
468,Bobbili,IN,77.67,overcast clouds,18.57,83.37,RCM CHURCH
470,Claresholm,CA,79.0,clear sky,50.03,-113.59,Bluebird Motel
472,Namatanai,PG,81.07,light rain,-3.67,152.43,Namatanai Hotel
475,Buba,GW,76.71,overcast clouds,11.58,-15.0,Pousada Bela Vista
479,Tibu,CO,84.34,light rain,8.64,-72.74,JOSE GREGORIO MONCADA
481,Gilgit,PK,78.64,clear sky,35.92,74.31,Tourist Hamlet Gilgit
483,Nishihara,JP,78.8,shower rain,26.18,127.76,Minshuku Agaihama
484,Mayo,US,82.99,clear sky,38.89,-76.51,Resorts Resource Group International
485,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
488,San Carlos,VE,75.69,moderate rain,9.66,-68.58,Hotel Paternopoli
494,Praia,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
502,Mantua,IT,79.0,clear sky,45.17,10.78,Hotel la Favorita
504,Aswan,EG,84.16,clear sky,24.09,32.91,Nuba Nile
505,Nakhon Thai,TH,75.45,overcast clouds,17.1,100.84,Phet resort
506,Marsa Matruh,EG,78.8,scattered clouds,31.35,27.25,Beau Site
507,Keti Bandar,PK,84.78,overcast clouds,24.14,67.45,Haji laloo memon house
508,Candelaria,PH,77.0,overcast clouds,13.93,121.42,Casa de Provincia
509,Nizwa,OM,84.88,overcast clouds,22.93,57.53,Orient Apartments
512,Crevalcore,IT,81.0,clear sky,44.72,11.15,Casa Papi
521,Vung Tau,VN,81.28,overcast clouds,10.35,107.08,Seaside Resort
523,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
525,Ierapetra,GR,81.0,clear sky,35.01,25.74,Cretan Villa Hotel & Apartments in Ierapetra Crete
527,Fare,PF,77.13,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
528,Mbini,GQ,77.0,scattered clouds,1.57,9.61,
533,Avera,US,80.6,overcast clouds,33.19,-82.53,
534,Porangatu,BR,85.44,broken clouds,-13.44,-49.15,Wembley Park Hotel
537,Les Cayes,HT,87.06,broken clouds,18.2,-73.75,Villa Orphee
543,Umm Kaddadah,SD,84.58,light rain,13.6,26.69,
548,Sabha,LY,81.45,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
549,Ponta Do Sol,PT,75.2,scattered clouds,32.67,-17.1,Hotel do Campo
554,Umarkot,PK,88.09,few clouds,25.36,69.74,Qureshi Loudge
556,Karangampel,ID,78.39,few clouds,-6.46,108.45,ARIE SAFARI
560,Naze,JP,84.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
561,Gat,IL,78.01,clear sky,31.61,34.76,רגע בנחת
562,Kijang,KR,77.0,broken clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
563,Ouagadougou,BF,77.0,few clouds,12.36,-1.54,Pacific Hôtel
566,Hirara,JP,82.4,heavy intensity rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
568,Dakar,SN,82.4,few clouds,14.69,-17.44,Novotel Dakar
570,Marsh Harbour,BS,84.67,light rain,26.54,-77.06,Abaco Beach Resort
571,Arrecife,ES,75.2,few clouds,28.96,-13.55,Hotel Lancelot
572,Tallahassee,US,75.2,light rain,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
575,Lethem,GY,81.07,overcast clouds,3.38,-59.8,Savannah Inn
577,Palmer,US,87.8,few clouds,42.16,-72.33,Wedgewood Motel
581,Sokolo,ML,78.35,overcast clouds,14.73,-6.12,
584,Ushibuka,JP,81.03,light rain,32.19,130.02,Hotei
585,Virginia Beach,US,84.99,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
586,Connersville,US,84.0,light rain,39.64,-85.14,The Lodge at IOI
590,Kota Kinabalu,MY,75.2,few clouds,5.97,116.07,Gaya Centre Hotel
598,Great Falls,US,87.8,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
600,Rexburg,US,86.0,haze,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
601,Awjilah,LY,82.6,clear sky,29.11,21.29,
606,Agadir,MA,78.8,scattered clouds,30.42,-9.6,Iberostar Founty Beach
607,Jieshi,CN,81.54,overcast clouds,22.81,115.83,Yuehai Hotel
615,Pyapon,MM,77.52,light rain,16.28,95.68,Aung Naing Thu Motel
620,Olhao,PT,75.2,clear sky,37.03,-7.84,Zenit Guest House
624,Contamana,PE,79.86,few clouds,-7.33,-75.02,Shiringal Touristic Park
628,Devils Lake,US,82.4,clear sky,48.11,-98.87,Holiday Inn Express Devils Lake
629,Mitu,CO,76.69,light rain,1.2,-70.17,
631,Roma,US,84.2,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
638,Voh,NC,75.63,few clouds,-20.97,164.7,Le gîte du Koniambo
639,Jinji,CN,77.04,few clouds,23.23,110.83,
641,Breves,BR,78.87,light rain,-1.68,-50.48,Hotel e Restaurante Grill
642,Boa Vista,BR,89.6,shower rain,2.82,-60.67,Aipana Plaza Hotel
643,Havelock,US,82.99,overcast clouds,34.88,-76.9,Sherwood Motel
644,Numan,NG,77.04,overcast clouds,9.47,12.03,Zangun Motel
645,Maumere,ID,75.52,scattered clouds,-8.62,122.21,Sylvia Hotel
646,Muisne,EC,82.4,broken clouds,0.6,-80.03,Quinta Samay
653,Mormugao,IN,79.32,moderate rain,15.4,73.8,Hotel La-Paz Gardens
655,Cabedelo,BR,75.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
656,Awbari,LY,81.61,clear sky,26.59,12.78,فندق أوباري
657,Bartica,GY,86.0,few clouds,6.4,-58.62,La Vista Hotel and Apartment
661,Sorong,ID,77.13,scattered clouds,-0.88,131.25,The Waigo Hotel
662,Los Llanos De Aridane,ES,75.2,clear sky,28.66,-17.92,Valle Aridane
663,Tomatlan,MX,86.81,light rain,19.93,-105.25,Norma franco
664,Puerto Madero,MX,75.2,light rain,14.72,-92.42,Hotel La Central
669,Mastic Beach,US,82.4,clear sky,40.77,-72.85,Brushwood House by Smith Point Beach
