,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,San Juan,AR,-31.54,-68.54,62.11,25,0,7.47,clear sky
304,Coahuayana,MX,18.73,-103.68,82.4,78,75,11.41,broken clouds
305,Portsmouth,GB,50.8,-1.09,63.0,84,2,1.99,clear sky
306,Kamaishi,JP,39.27,141.88,74.98,85,100,2.8,overcast clouds
307,Lebanon,US,36.21,-86.29,84.2,54,20,5.82,few clouds
308,San Francisco,US,37.77,-122.42,80.6,47,75,14.99,smoke
309,San Policarpo,PH,12.18,125.51,80.15,85,100,7.2,light rain
310,Portalegre,PT,39.29,-7.43,78.01,39,0,1.99,clear sky
311,Jalu,LY,29.03,21.55,83.08,38,0,19.44,clear sky
312,Palakkad,IN,10.78,76.65,77.0,88,75,4.7,broken clouds
313,Chuy,UY,-33.7,-53.46,47.8,68,0,6.58,clear sky
314,Gushikawa,JP,26.35,127.87,78.8,88,75,4.7,broken clouds
315,Pingliang,CN,35.54,106.69,65.82,88,100,4.54,overcast clouds
316,Lasa,IT,46.62,10.7,59.0,100,5,3.36,clear sky
317,Tobol,KZ,52.68,62.58,52.5,92,0,5.68,clear sky
318,Olenino,RU,56.21,33.49,54.64,89,76,5.08,broken clouds
319,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,81.07,76,2,1.45,clear sky
320,Ambala,IN,30.38,76.78,77.0,100,75,6.93,thunderstorm with light rain
321,Vila Velha,BR,-20.33,-40.29,64.4,88,90,16.11,light rain
322,Kita,ML,13.03,-9.49,72.59,96,100,1.77,overcast clouds
323,Afrikanda,RU,67.44,32.78,56.79,89,46,7.31,scattered clouds
324,Arlit,NE,18.74,7.39,98.28,25,47,7.07,scattered clouds
325,Pangkalanbuun,ID,-2.68,111.62,74.53,98,98,2.26,overcast clouds
326,Ritchie,ZA,-29.04,24.6,46.4,31,0,8.01,clear sky
327,Hazleton,US,40.96,-75.97,87.01,37,1,3.06,clear sky
328,Amberley,US,39.2,-84.43,81.0,69,1,5.82,clear sky
329,Hay River,CA,60.82,-115.8,52.11,84,100,9.95,overcast clouds
330,Hofn,IS,64.25,-15.21,49.8,75,49,3.51,scattered clouds
331,Maragogi,BR,-9.01,-35.22,73.71,86,38,7.56,light rain
332,Ust-Nera,RU,64.57,143.2,41.27,66,100,5.12,overcast clouds
333,Verkhnyaya Inta,RU,65.98,60.31,43.11,95,21,3.65,few clouds
334,Torrevieja,ES,37.98,-0.68,82.0,86,3,4.43,clear sky
335,Tabas,IR,33.6,56.92,102.2,10,0,9.17,clear sky
336,Warrnambool,AU,-38.38,142.48,46.0,94,52,1.01,light rain
337,Ibi,ES,38.63,-0.57,81.0,76,0,1.54,clear sky
338,Mount Gambier,AU,-37.83,140.77,42.8,93,75,6.93,broken clouds
339,Kananga,CD,-5.9,22.42,74.23,75,64,3.74,broken clouds
340,Katsuura,JP,35.13,140.3,78.01,85,100,3.0,moderate rain
341,Elko,US,41.0,-115.5,95.0,5,98,8.01,overcast clouds
342,Dalby,AU,-27.18,151.27,35.6,80,0,5.82,clear sky
343,Sioux Lookout,CA,50.1,-91.92,69.8,83,90,3.36,thunderstorm
344,Kieta,PG,-6.22,155.63,83.25,70,100,5.1,light rain
345,Onokhoy,RU,51.93,108.07,51.8,93,81,5.46,broken clouds
346,Kutum,SD,14.2,24.67,74.25,69,83,7.76,broken clouds
347,Brae,GB,60.4,-1.35,53.6,100,100,9.17,light rain
348,Gizo,SB,-8.1,156.84,83.14,79,75,17.58,light rain
349,Sao Filipe,CV,14.9,-24.5,79.07,80,26,4.03,scattered clouds
350,Erenhot,CN,43.65,111.98,66.06,69,99,2.91,overcast clouds
351,Cabo San Lucas,MX,22.89,-109.91,91.4,52,5,9.17,clear sky
352,Kaduqli,SD,11.02,29.72,74.84,83,54,3.24,broken clouds
353,Aksarka,RU,66.56,67.8,48.76,92,55,13.73,broken clouds
354,Sao Miguel Do Araguaia,BR,-13.28,-50.16,83.35,34,0,9.55,clear sky
355,Nalut,LY,30.33,10.85,80.82,23,0,12.48,clear sky
356,Kuldiga,LV,56.97,21.96,68.0,94,100,9.17,overcast clouds
357,Manokwari,ID,-0.87,134.08,78.24,76,0,4.41,clear sky
358,Gushi,CN,34.64,109.58,70.63,81,39,6.46,scattered clouds
359,Yen Bai,VN,21.7,104.87,76.87,91,89,0.29,overcast clouds
360,Bandarbeyla,SO,9.49,50.81,76.26,76,66,31.92,broken clouds
361,Freeport,US,40.66,-73.58,84.99,66,1,12.75,clear sky
362,Comodoro Rivadavia,AR,-45.87,-67.5,66.2,37,20,16.11,few clouds
363,Rehoboth,NA,-23.32,17.08,48.45,48,0,5.41,clear sky
