City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Obninsk,RU,2020-08-21 00:48:10,55.1,36.61,51.8,93,0,2.24
102,Ahipara,NZ,2020-08-21 00:48:10,-35.17,173.17,60.42,74,0,15.73
103,Port Alfred,ZA,2020-08-21 00:48:10,-33.59,26.89,58.26,77,100,9.44
104,Cherskiy,RU,2020-08-21 00:45:06,68.75,161.3,45.36,58,100,13.94
105,Mahebourg,MU,2020-08-21 00:48:10,-20.41,57.7,66.2,77,20,8.05
106,Chuy,UY,2020-08-21 00:43:33,-33.7,-53.46,38.68,76,0,7.2
107,Cidreira,BR,2020-08-21 00:48:10,-30.18,-50.21,46.54,62,0,13.24
108,Hofn,IS,2020-08-21 00:48:10,64.25,-15.21,48.34,64,100,23.73
109,Avarua,CK,2020-08-21 00:48:11,-21.21,-159.78,77.0,83,0,20.8
110,Dickinson,US,2020-08-21 00:48:11,29.46,-95.05,88.0,45,40,6.93
111,Manokwari,ID,2020-08-21 00:45:43,-0.87,134.08,82.89,71,0,2.8
112,Gat,IL,2020-08-21 00:43:37,31.61,34.76,75.0,77,0,3.94
113,Northam,GB,2020-08-21 00:48:11,51.03,-4.22,62.01,88,100,1.99
114,That Phanom,TH,2020-08-21 00:48:11,16.94,104.71,77.0,88,75,2.24
115,Atuona,PF,2020-08-21 00:48:11,-9.8,-139.03,79.07,75,95,19.89
116,Burayevo,RU,2020-08-21 00:48:11,55.84,55.41,51.12,94,100,8.37
117,Luebo,CD,2020-08-21 00:48:11,-5.35,21.42,75.43,79,100,2.46
118,Arraial Do Cabo,BR,2020-08-21 00:48:12,-22.97,-42.03,68.0,94,90,5.82
119,Punta Arenas,CL,2020-08-21 00:48:12,-53.15,-70.92,42.8,87,75,11.41
120,Hilo,US,2020-08-21 00:43:20,19.73,-155.09,82.4,65,90,8.05
121,Aron,IN,2020-08-21 00:48:12,24.38,77.42,75.22,94,97,8.12
122,Georgetown,MY,2020-08-21 00:48:13,5.41,100.34,82.4,88,20,2.24
123,Nantucket,US,2020-08-21 00:45:35,41.28,-70.1,64.4,88,1,6.93
124,Kattivakkam,IN,2020-08-21 00:48:13,13.22,80.32,82.4,83,40,3.36
125,Bluff,NZ,2020-08-21 00:48:13,-46.6,168.33,50.2,88,100,6.13
126,Labuhan,ID,2020-08-21 00:48:13,-6.88,112.21,80.8,74,9,11.97
127,Mahajanga,MG,2020-08-21 00:48:13,-15.72,46.32,69.8,77,11,3.36
128,Kihei,US,2020-08-21 00:48:13,20.79,-156.47,87.8,52,40,20.8
129,Dunmore Town,BS,2020-08-21 00:48:13,25.5,-76.65,84.02,77,0,13.24
130,Ribeira Grande,PT,2020-08-21 00:48:13,38.52,-28.7,69.8,83,75,17.22
131,Suruc,TR,2020-08-21 00:48:13,36.98,38.42,73.4,60,0,6.93
132,Half Moon Bay,US,2020-08-21 00:48:13,37.46,-122.43,82.4,82,90,12.75
133,Fukue,JP,2020-08-21 00:48:13,32.69,128.84,84.2,79,20,4.7
134,Chokurdakh,RU,2020-08-21 00:48:13,70.63,147.92,40.35,74,94,3.91
135,Nuuk,GL,2020-08-21 00:48:13,64.18,-51.72,48.2,70,0,13.87
136,Davila,PH,2020-08-21 00:48:13,18.47,120.58,77.0,100,90,3.36
137,Kruisfontein,ZA,2020-08-21 00:48:13,-34.0,24.73,53.01,84,3,6.33
138,Mareeba,AU,2020-08-21 00:44:24,-17.0,145.43,82.0,50,12,8.05
139,Port-Gentil,GA,2020-08-21 00:48:14,-0.72,8.78,74.17,84,100,13.31
140,Xai-Xai,MZ,2020-08-21 00:48:15,-25.05,33.64,58.86,88,0,4.32
141,Japura,ID,2020-08-21 00:48:15,-0.32,102.35,79.14,79,87,3.85
142,Kahului,US,2020-08-21 00:48:16,20.89,-156.47,87.8,52,40,20.8
143,Big Bend,SZ,2020-08-21 00:48:16,-26.82,31.93,54.27,90,9,1.5
144,The Valley,AI,2020-08-21 00:48:16,18.22,-63.06,84.2,79,20,12.75
145,Risod,IN,2020-08-21 00:48:16,19.97,76.78,72.21,94,100,8.12
146,Kapaa,US,2020-08-21 00:43:36,22.08,-159.32,84.2,66,75,16.11
147,Port Blair,IN,2020-08-21 00:46:29,11.67,92.75,82.8,79,100,10.42
148,Geraldton,AU,2020-08-21 00:48:16,-28.77,114.6,55.4,71,100,9.17
149,Cabedelo,BR,2020-08-21 00:48:16,-6.98,-34.83,75.2,94,75,9.17
150,Saint George,US,2020-08-21 00:48:16,37.1,-113.58,107.6,9,1,13.87
151,Port Elizabeth,ZA,2020-08-21 00:48:16,-33.92,25.57,53.6,87,20,5.82
152,Jalu,LY,2020-08-21 00:48:17,29.03,21.55,78.44,56,0,12.41
153,Vanimo,PG,2020-08-21 00:48:17,-2.67,141.3,85.75,65,36,7.47
154,Constitucion,CL,2020-08-21 00:48:17,-35.33,-72.42,50.59,71,0,4.97
155,Beirut,LB,2020-08-21 00:48:17,33.89,35.49,78.8,74,40,6.93
156,San Cristobal,VE,2020-08-21 00:44:38,7.77,-72.22,67.17,91,36,2.06
157,Portland,US,2020-08-21 00:43:25,45.52,-122.68,82.0,42,75,6.93
158,Neftcala,AZ,2020-08-21 00:48:17,39.37,49.25,73.62,66,0,3.24
159,Dalhousie,IN,2020-08-21 00:48:17,32.53,75.98,62.38,100,99,1.99
160,Ifanadiana,MG,2020-08-21 00:48:18,-21.3,47.63,59.2,94,20,2.04
161,Pochutla,MX,2020-08-21 00:48:18,15.74,-96.47,82.4,74,75,2.98
162,Lasa,IT,2020-08-21 00:48:18,46.62,10.7,62.6,88,5,2.1
163,Atambua,ID,2020-08-21 00:48:18,-9.11,124.89,83.73,34,0,2.01
164,Lavrentiya,RU,2020-08-21 00:48:18,65.58,-171.0,52.21,70,100,6.26
165,Severo-Kurilsk,RU,2020-08-21 00:48:20,50.68,156.12,56.16,67,50,21.56
166,Kenai,US,2020-08-21 00:48:20,60.55,-151.26,69.8,63,1,5.82
167,Byron Bay,AU,2020-08-21 00:43:57,-28.65,153.62,66.2,39,18,11.41
168,Nikolskoye,RU,2020-08-21 00:48:20,59.7,30.79,55.4,82,0,2.24
169,Ivdel,RU,2020-08-21 00:48:20,60.69,60.42,50.94,96,93,4.34
170,Hay River,CA,2020-08-21 00:48:20,60.82,-115.8,55.4,71,75,9.17
171,Ostrovnoy,RU,2020-08-21 00:48:20,68.05,39.51,55.53,79,100,13.94
172,Gold Coast,AU,2020-08-21 00:46:50,-28.0,153.43,69.01,34,100,8.05
173,Soyo,AO,2020-08-21 00:48:20,-6.13,12.37,71.55,87,60,6.58
174,Arucas,ES,2020-08-21 00:48:20,28.12,-15.52,75.2,31,0,14.99
175,Souillac,MU,2020-08-21 00:48:20,-20.52,57.52,66.2,77,20,8.05
176,Nadym,RU,2020-08-21 00:48:20,65.53,72.52,57.74,85,100,9.71
177,Markova,UA,2020-08-21 00:48:20,48.68,24.41,59.0,86,1,4.99
178,Lima,PE,2020-08-21 00:45:43,-12.04,-77.03,60.8,77,90,11.41
179,Hithadhoo,MV,2020-08-21 00:48:21,-0.6,73.08,82.38,75,36,7.34
180,Sao Filipe,CV,2020-08-21 00:48:21,14.9,-24.5,76.6,80,36,8.48
181,Bela Vista,BR,2020-08-21 00:48:21,-22.11,-56.52,48.92,91,100,2.91
182,Tilichiki,RU,2020-08-21 00:48:21,60.47,166.1,48.78,95,100,4.12
183,Luwingu,ZM,2020-08-21 00:48:21,-10.26,29.93,57.78,71,0,6.53
184,Kavaratti,IN,2020-08-21 00:48:21,10.57,72.64,82.4,80,100,14.29
185,Strezhevoy,RU,2020-08-21 00:48:21,60.73,77.59,50.0,100,90,6.71
186,Monchegorsk,RU,2020-08-21 00:48:21,67.94,32.87,55.72,95,100,0.92
187,Sinjar,IQ,2020-08-21 00:48:21,36.32,41.88,77.43,41,0,7.54
188,Starobaltachevo,RU,2020-08-21 00:48:21,56.0,55.92,51.01,95,100,7.47
189,Tuni,IN,2020-08-21 00:48:21,17.35,82.55,76.55,91,100,11.95
190,Tura,IN,2020-08-21 00:45:08,25.52,90.22,73.49,96,100,4.72
191,Mastic Beach,US,2020-08-21 00:48:21,40.77,-72.85,72.0,68,1,8.93
192,Churapcha,RU,2020-08-21 00:48:21,62.0,132.43,56.37,39,0,7.38
193,Sinjai,ID,2020-08-21 00:48:22,-5.12,120.25,81.25,70,42,3.15
194,Cartagena Del Chaira,CO,2020-08-21 00:48:22,1.33,-74.84,77.54,79,100,1.83
195,Molchanovo,RU,2020-08-21 00:48:22,57.58,83.77,50.02,86,100,8.77
196,Paciran,ID,2020-08-21 00:48:22,-6.88,112.38,81.48,73,7,13.2
197,Paamiut,GL,2020-08-21 00:48:22,61.99,-49.67,44.26,80,0,4.43
198,Rio Grande,BR,2020-08-21 00:48:22,-32.03,-52.1,39.99,83,38,10.96
199,Ferkessedougou,CI,2020-08-21 00:48:22,9.6,-5.2,72.48,94,100,3.42
200,Grand Forks,US,2020-08-21 00:47:57,47.93,-97.03,82.99,58,40,6.93
201,Fare,PF,2020-08-21 00:48:22,-16.7,-151.02,78.21,77,4,24.65
202,Arman,RU,2020-08-21 00:48:22,59.7,150.17,56.75,53,87,17.74
203,Castro,BR,2020-08-21 00:43:44,-24.79,-50.01,50.07,95,100,6.51
204,Kieta,PG,2020-08-21 00:48:22,-6.22,155.63,85.57,62,0,3.38
205,Yulara,AU,2020-08-21 00:48:22,-25.24,130.99,60.8,31,0,10.29
206,Barrow,US,2020-08-21 00:46:03,71.29,-156.79,46.4,87,90,6.93
207,Kirakira,SB,2020-08-21 00:48:23,-10.45,161.92,83.48,74,14,4.21
208,San Jose,US,2020-08-21 00:45:00,37.34,-121.89,86.0,37,75,18.34
209,Herzogenburg,AT,2020-08-21 00:48:24,48.29,15.73,62.01,92,0,3.0
210,Namibe,AO,2020-08-21 00:48:24,-15.2,12.15,59.79,80,100,3.67
211,Ilulissat,GL,2020-08-21 00:45:35,69.22,-51.1,42.8,70,23,2.24
